action,date,x,y,z
walking,2011-11-30 10:48:04,1.9536685943603516,11.760318756103516,5.5545477867126465
walking,2011-11-30 10:48:04,4.63517427444458,8.236053466796875,3.6774938106536865
walking,2011-11-30 10:48:04,0.5746083855628967,7.086836814880371,3.869029998779297
walking,2011-11-30 10:48:04,0.9576807022094727,3.141192674636841,2.1068975925445557
walking,2011-11-30 10:48:04,5.439626216888428,12.02846908569336,3.294421434402466
walking,2011-11-30 10:48:04,1.5705963373184204,10.802638053894043,-0.07661445438861847
walking,2011-11-30 10:48:04,1.5705963373184204,4.6734819412231445,-0.07661445438861847
walking,2011-11-30 10:48:04,-1.8770540952682495,8.504204750061035,3.5242648124694824
walking,2011-11-30 10:48:04,-4.6734819412231445,12.181697845458984,2.3750481605529785
walking,2011-11-30 10:48:04,-3.7158010005950928,6.703764915466309,4.098873138427734
walking,2011-11-30 10:48:05,-5.324704647064209,8.35097599029541,3.141192674636841
walking,2011-11-30 10:48:05,-4.022258758544922,6.473921298980713,4.32871675491333
walking,2011-11-30 10:48:05,-3.485957622528076,5.439626216888428,4.32871675491333
walking,2011-11-30 10:48:05,-4.63517427444458,6.703764915466309,4.32871675491333
walking,2011-11-30 10:48:05,-5.861005783081055,8.734047889709473,7.010222434997559
walking,2011-11-30 10:48:05,-1.3024457693099976,8.312667846679688,1.9153614044189453
walking,2011-11-30 10:48:05,-2.873042106628418,8.96389102935791,0.4596867263317108
walking,2011-11-30 10:48:05,-0.07661445438861847,5.592854976654053,0.8810662031173706
walking,2011-11-30 10:48:05,-5.822698593139648,6.3973069190979,1.6855180263519287
walking,2011-11-30 10:48:06,-2.030282974243164,5.899312973022461,3.9456443786621094
walking,2011-11-30 10:48:06,-7.6997528076171875,9.117119789123535,1.0342950820922852
walking,2011-11-30 10:48:06,-3.2178070545196533,17.50640296936035,2.0685901641845703
walking,2011-11-30 10:48:06,-3.8307228088378906,-0.07661445438861847,1.4939818382263184
walking,2011-11-30 10:48:06,-0.2298433631658554,6.090848922729492,0.7661445140838623
walking,2011-11-30 10:48:06,-8.810662269592285,7.8529815673828125,6.665457725524902
walking,2011-11-30 10:48:06,-4.175487995147705,13.79060173034668,3.141192674636841
walking,2011-11-30 10:48:06,-5.018246650695801,11.03248119354248,0.38307225704193115
walking,2011-11-30 10:48:06,0.3064578175544739,5.094861030578613,1.8770540952682495
walking,2011-11-30 10:48:06,-4.175487995147705,5.094861030578613,1.4173674583435059
walking,2011-11-30 10:48:07,-2.1068975925445557,5.094861030578613,4.6734819412231445
walking,2011-11-30 10:48:07,-7.814674377441406,9.576807022094727,5.324704647064209
walking,2011-11-30 10:48:07,-2.75812029838562,14.709975242614746,-1.072602391242981
walking,2011-11-30 10:48:07,-4.6734819412231445,3.1028854846954346,0.07661445438861847
walking,2011-11-30 10:48:07,-1.1109095811843872,4.32871675491333,1.1109095811843872
walking,2011-11-30 10:48:07,-6.856993675231934,7.661445617675781,5.171475887298584
walking,2011-11-30 10:48:07,-7.508216381072998,15.820884704589844,5.171475887298584
walking,2011-11-30 10:48:07,-4.865017890930176,9.461885452270508,0.8044517636299133
walking,2011-11-30 10:48:07,0.4596867263317108,6.933608055114746,2.9496564865112305
walking,2011-11-30 10:48:07,-4.788403511047363,5.1331682205200195,0.38307225704193115
walking,2011-11-30 10:48:08,-3.907337188720703,6.933608055114746,4.6734819412231445
walking,2011-11-30 10:48:08,-7.7763671875,10.381258964538574,5.746084213256836
walking,2011-11-30 10:48:08,-2.1068975925445557,10.381258964538574,-1.6089035272598267
walking,2011-11-30 10:48:08,-7.163451671600342,7.5848307609558105,-1.8387469053268433
walking,2011-11-30 10:48:08,-0.9193734526634216,3.7924153804779053,1.4173674583435059
walking,2011-11-30 10:48:08,-3.8307228088378906,7.4316020011901855,3.6774938106536865
walking,2011-11-30 10:48:08,-6.244078159332275,13.522451400756836,7.316680431365967
walking,2011-11-30 10:48:08,-3.7924153804779053,9.921571731567383,0.038307227194309235
walking,2011-11-30 10:48:08,0.1149216815829277,7.1251444816589355,2.5282769203186035
walking,2011-11-30 10:48:09,-5.20978307723999,5.018246650695801,1.1492167711257935
walking,2011-11-30 10:48:09,-4.405331134796143,5.70777702331543,4.9799394607543945
walking,2011-11-30 10:48:09,-7.623138427734375,10.189722061157227,5.324704647064209
walking,2011-11-30 10:48:09,-3.7924153804779053,11.91354751586914,-2.0685901641845703
walking,2011-11-30 10:48:09,-5.937620162963867,4.6734819412231445,-2.0685901641845703
walking,2011-11-30 10:48:09,-0.689530074596405,4.405331134796143,0.8810662031173706
walking,2011-11-30 10:48:09,-5.669469833374023,6.89530086517334,4.175487995147705
walking,2011-11-30 10:48:09,-7.738059997558594,14.748282432556152,6.244078159332275
walking,2011-11-30 10:48:09,-5.669469833374023,9.768342971801758,6.244078159332275
walking,2011-11-30 10:48:09,-0.1149216815829277,7.738059997558594,3.44765043258667
walking,2011-11-30 10:48:10,-4.711789131164551,5.20978307723999,0.49799394607543945
walking,2011-11-30 10:48:10,-4.711789131164551,6.244078159332275,4.750096321105957
walking,2011-11-30 10:48:10,-8.810662269592285,8.96389102935791,5.631162166595459
walking,2011-11-30 10:48:10,-4.098873138427734,14.633360862731934,0.07661445438861847
walking,2011-11-30 10:48:10,-6.512228488922119,3.9456443786621094,-0.15322890877723694
walking,2011-11-30 10:48:10,-0.4596867263317108,4.367023944854736,0.9959878921508789
walking,2011-11-30 10:48:10,-6.933608055114746,6.282385349273682,4.367023944854736
walking,2011-11-30 10:48:10,-9.193734169006348,13.292608261108398,6.090848922729492
